Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0xyWkRMb09qdCDhloehCsi,"Ni Me Conozco","Cosa Nuestra","Rauw Alejandro",2024-11-15,229787,69,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:08Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.553,0.535,5,-6.681,0,0.168,0.335,0,0.169,0.307,90.168,4
spotify:track:5tZgkV8FTe3rtl8OcSeQAb,"Déjame Entrar","Cosa Nuestra","Rauw Alejandro",2024-11-15,254705,67,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:12Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.675,0.697,0,-5.795,1,0.0483,0.343,0.0000289,0.0996,0.262,102.006,4
spotify:track:1UTLq40xh63wMrHELGnKWW,"2:12 AM","Cosa Nuestra","Rauw Alejandro;LATIN MAFIA",2024-11-15,211918,75,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:16Z,"reggaetón,trap latino,urbano latino,latina,r&b latino","Sony Music Latin/Duars Entertainment",0.724,0.754,8,-3.89,1,0.0317,0.118,0,0.122,0.543,125.039,4
spotify:track:0Fpw7AgVXI9Nql2vLbJAhP,"Revolú","Revolú","Rauw Alejandro;Feid",2024-11-14,215511,54,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:21Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.728,0.688,9,-3.552,1,0.104,0.0615,0.00000272,0.104,0.442,196.115,4
spotify:track:4UGqAW9i7NtE5mW9xzm6yk,"PUNTO 40","SATURNO","Rauw Alejandro;Baby Rasta",2023-01-24,190654,68,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:28Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.857,0.829,0,-0.484,1,0.0842,0.00112,0.015,0.255,0.208,106.993,4
spotify:track:6fmpK6IerfBrhZo4a2MYkC,"MÁS DE UNA VEZ","SATURNO","Rauw Alejandro",2023-01-24,245163,57,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:32Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.73,0.732,9,-4.986,0,0.0322,0.128,0.00000358,0.173,0.328,119.958,4
spotify:track:58EM1w815O5XZGWSF7DUCf,"LEJOS DEL CIELO","SATURNO","Rauw Alejandro",2023-01-24,208934,60,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:37Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.77,0.521,7,-6.982,1,0.195,0.372,0.0000391,0.3,0.222,92.014,4
spotify:track:7xDBtwxsife3u8luqSbSPR,"NO ME SUELTES","SATURNO","Rauw Alejandro",2023-01-24,162857,70,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:41Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.882,0.662,8,-6.504,1,0.0798,0.151,0.000611,0.0912,0.757,112.014,4
spotify:track:2kz1YOhJiNubjigR1gB1VX,"DILUVIO","PLAYA SATURNO","Rauw Alejandro",2023-07-07,197052,79,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:46Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.845,0.795,9,-3.502,0,0.0681,0.343,0.0000178,0.224,0.681,94.969,4
spotify:track:7kyLtcgYgQPrXkxtAb72iY,"SI TE PEGAS","PLAYA SATURNO","Rauw Alejandro;Miguel Bosé",2023-07-07,183652,57,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:51Z,"reggaetón,trap latino,urbano latino,latina,pop latino","Sony Music Latin/Duars Entertainment",0.899,0.833,11,-2.515,0,0.0533,0.422,0.00288,0.184,0.559,115.008,4
spotify:track:4KrNCWx08dZr11kGIUHuuX,"CELEBRANDO","PLAYA SATURNO","Rauw Alejandro;Ivy Queen",2023-07-07,207150,55,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:57:55Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.82,0.825,4,-1.932,0,0.0673,0.127,0.000335,0.465,0.296,100.057,4
spotify:track:3rdAz1fbUfZxYgaCviYhRo,"Todo De Ti","VICE VERSA","Rauw Alejandro",2021-12-10,199604,79,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:01Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,4
spotify:track:78QcVmzxS0wIwuC2rpAauI,"2/Catorce","VICE VERSA","Rauw Alejandro;Mr. Naisgai",2021-12-10,205714,68,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:09Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.768,0.56,3,-3.497,1,0.0859,0.709,0.000791,0.115,0.372,112.084,3
spotify:track:1lV3QHHMAQt0Kc1ioZq2MP,"Sexo Virtual","VICE VERSA","Rauw Alejandro",2021-12-10,208291,69,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:14Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.704,0.739,8,-3.286,1,0.112,0.328,0.0000193,0.0856,0.425,179.879,4
spotify:track:5bQLsyTrUaMQRfr6whwGe5,"Aquel Nap ZzZz","VICE VERSA","Rauw Alejandro",2021-12-10,295038,81,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:18Z,"reggaetón,trap latino,urbano latino,latina","Sony Music Latin/Duars Entertainment",0.457,0.495,4,-6.044,1,0.0797,0.62,0.000228,0.109,0.311,79.513,4
spotify:track:6mAN61JH0dzyZpWslS11jy,"Fantasias","Fantasias","Rauw Alejandro;Farruko",2019-08-29,199711,70,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:23Z,"reggaetón,trap latino,urbano latino,latina","(SME US Latin) Duars Entertainment, Corp. (2)",0.879,0.703,1,-4.219,1,0.0701,0.143,0,0.0569,0.788,94.004,4
spotify:track:7na7Bk98usp84FaOJFPv3d,"Tattoo","Tattoo","Rauw Alejandro",2020-02-13,202886,61,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:58:28Z,"reggaetón,trap latino,urbano latino,latina","(SME US Latin) Duars Entertainment, Corp. (2)",0.755,0.617,9,-5.144,1,0.182,0.0217,0,0.0625,0.745,193.896,4
