TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.229115646,1.88726,0.106774,0,0.00622692,1.16985,0.00848563,0.0223888,0.678905,0,0.581716,0.686695,0.288732
2.275555556,2.09109,0.133353,0.0482672,0.394422,0.663131,0.00565532,0.0254572,0.571763,0.0174635,0.195589,0.530475,0.272031
2.321995465,1.67555,0.287933,0.0673248,0.691364,0.590838,0,0.040266,0.444846,0.402522,0.166369,0.335073,0.066585
2.368435374,1.47242,0.405101,0.0526399,0.634111,0.476527,0.00307101,0.0219936,0.47426,0.442765,0.121293,0.298899,0.0192601
2.414875283,1.36304,0.57905,0.0595877,0.637459,0.278532,0,0.0100239,0.596149,0.376243,0.119293,0.278894,0.0202491
2.461315193,1.20493,0.506473,0.0978632,0.616659,0.323182,0,0,0.803738,0.324116,0.0677187,0.258767,0.0131976
2.507755102,1.27213,0.171845,0.0520562,0.297263,0.429701,0,0,0.936612,0.222908,0.203869,0.103952,0.0467387
2.554195011,1.17639,0.21437,0.525772,0.146852,0.458205,0.000646924,0,1.05892,0.118437,0.00208381,0.442048,0.0560611
2.600634921,1.30791,0.602628,1.07636,0.160007,0.638127,0,0.0703789,1.06658,0.0574459,0,0.0857771,0.0150128
2.647074830,1.3884,0.642377,1.0796,0.11832,0.761378,0,0.102171,0.945249,0.152307,0.000169177,0.0137454,0.013207
2.693514739,1.37906,0.745957,0.938057,0.0829441,0.749297,0,0.105406,1.0994,0.277931,0.000843618,0.00896937,0.0102339
2.739954649,1.31261,0.931397,0.816924,0.0624897,0.805704,0,0.0927402,1.22829,0.29587,0.00143675,0,0.00836588
2.786394558,1.23239,0.955608,0.774453,0.057948,0.941105,0,0.0462486,1.23539,0.131974,0.0011439,0.280719,0.0101174
2.832834467,1.11756,1.08281,0.35689,0.691482,0.963505,0,0.0538721,0.969972,0.00649598,0,0.250851,0.0119079
2.879274376,1.19725,1.09302,0.359268,0.876511,0.813409,0,0.0765595,0.839211,0.00475297,0.167965,0.110492,0.109617
2.925714286,1.52988,0.880863,0.1345,0.977093,0.470866,0.00403072,0.116204,0.824961,0.000730188,0.318003,0.0390856,0.211505
2.972154195,1.51767,0.824623,0,0.904354,0.526525,0.00720837,0.171341,0.795021,0,0.394295,0,0.263458
3.018594104,1.41183,0.861832,0.000581464,0.739242,0.677682,0.0052178,0.0964709,0.692332,0,0.393026,0.18121,0.341761
3.065034014,1.41349,0.371376,0.000184135,0.325751,0.708615,0.0098342,0.0233165,0.968351,0,0.305781,0.446987,0.434463
3.111473923,1.59514,0.220084,0,0.244521,0.77442,0.0094416,0.0229704,0.737815,0,0.250047,0.679101,0.428885
3.157913832,1.74727,0.20676,0,0.287931,0.947825,0.0465981,0.0216933,0.545926,0,0.290668,0.858145,0.353934
3.204353741,1.88677,0.119793,0.00157664,0.259019,0.999498,0.0246286,0.0248102,0.530396,0.00523343,0.399415,0.894363,0.29982
3.250793651,1.89972,0.113578,0.00131341,0.161502,1.0743,0.0269274,0.0474023,0.545877,0,0.504932,0.916499,0.160614
3.297233560,2.03443,0.169562,0,0,1.12876,0.00717552,0.0680147,0.603024,0,0.629806,0.801534,0
3.343673469,1.88284,0.163961,0.0168773,0.0830449,0.867845,0.00755132,0.11539,0.410301,0.158934,0.198546,0.671333,0.00138963
3.390113379,1.66099,0.119854,0.0441469,0.0516049,0.73815,0.00705093,0.0890774,0.259119,0.579835,0.137163,0.533203,0.0240408
3.436553288,1.62815,0.303508,0.0599704,0.0374532,0.499796,0.117983,0.0194378,0.392439,0.535907,0.319612,0.158147,0.116954
3.482993197,1.43828,0.376956,0.0728779,0.0915332,0.00467915,0.126625,0.0144568,0.812206,0.363704,0.467986,0.132045,0.336853
3.529433107,1.30695,0.375466,0.210843,0.0834304,0.00878096,0.0560251,0.00488942,1.19794,0.194322,0.287619,0.335201,0.378751
3.575873016,1.28356,0.198317,0.189214,0.0898634,0.582836,0.00930754,0.0218383,1.30615,0.0623423,0.000767155,0.709271,0.0709572
3.622312925,1.40246,0.660358,0.178278,0.0945626,0.761457,0.0102468,0.045698,1.15896,0.00491239,0.000770973,0.606626,0.00345643
3.668752834,1.57261,0.927563,0.430982,0.201023,0.801645,0.00150297,0.111143,0.928961,0,0,0.213905,0.00962694
3.715192744,1.49821,0.991631,0.524828,0.261814,0.860574,0.00104781,0.159794,0.786598,0,0,0.276372,0.0101272
3.761632653,1.39847,1.05453,0.541057,0.273613,0.916759,0,0.166223,0.805774,0,0.0253852,0.285296,0.0864895
3.808072562,1.38859,1.04451,0.470673,0.257473,0.966274,0,0.157153,0.980755,0,0.0821021,0.222674,0.260068
3.854512472,1.4539,0.791088,0.466285,0.117461,0.867422,0.000349427,0.110072,1.01604,0,0.125012,0.339191,0.318575
3.900952381,2.1333,0.168691,0.00109116,0,0.962617,0.00407818,0.0240933,0.627589,0,0.14735,0.76244,0.292578
3.947392290,1.97418,0.219521,0,0.0847457,1.05479,0.00722549,0.0380806,0.549854,0,0.156559,0.87679,0.167685
3.993832200,2.0681,0.279407,0.0596143,0.123404,0.866009,0.00744143,0.196575,0.513765,0.00587992,0.131841,0.909781,0.127338
4.040272109,2.06329,0.345028,0.131179,0.128235,0.900188,0.00455793,0.257777,0.236797,0.00836906,0.103158,0.921706,0.0439276
4.086712018,1.975,0.370476,0.138429,0.135566,0.942892,0.000253261,0.238206,0.184724,0.00863658,0.0273136,0.8392,0.0418409
4.133151927,1.68945,0.399263,0.469278,0.140211,0.744872,0,0,0.820848,0.00961491,0.00305324,0.553737,0.00602947
4.179591837,1.88291,0.3788,0.356684,0.113065,0.916972,0.00324183,0.0580263,0.819334,0.0292917,0.00289524,0.378446,0.0139537
4.226031746,1.71499,0.34553,0.266434,0.0738159,1.18757,0.0012511,0.142845,0.71034,0.0812703,0.00171461,0.0773518,0.356874
