-266.217,-2.99895,3.25027,-0.496729,-10.1276,-7.70551,-8.53187,-0.522648,-2.78063,0.467922,-1.07236,2.66163,-0.0373924,0.557339,-1.80742,-0.539984,-1.05388,3.54704,-0.220609,0.00392545,1.86687
-198.631,9.48676,9.26194,6.2514,-7.08623,0.432935,-4.20537,0.084263,-3.89451,0.370666,0.139693,1.89383,-2.61848,-1.75665,-2.83591,0.013641,0.46106,1.92957,1.02546,-2.1644,-2.04428
-280.923,13.0155,2.98935,5.86314,-10.0343,-1.37299,-6.9404,1.2749,-0.864131,0.0141475,-5.44683,-3.01723,-2.80522,-2.69548,-3.71549,-0.158823,-1.17817,0.316476,-0.46175,-0.0240163,-0.167267
-326.508,17.8593,1.24009,2.50764,-8.51559,0.962356,-3.21653,1.99656,-0.0434124,0.414535,-4.20031,-2.20566,-4.94609,-0.521345,-5.34697,-1.01121,-1.75097,-0.649021,0.568842,-2.23984,-0.769465
-211.332,-7.61348,5.40594,5.54653,-9.60007,6.48357,-2.09495,-4.81179,-6.7914,-4.65734,-3.30908,-2.44037,0.328373,0.863465,-0.998249,3.2227,2.44763,0.855093,-0.149797,0.204794,-1.63247
-202.457,-8.33749,10.1318,14.6675,2.30983,7.20176,-0.429825,0.519205,-2.48191,-1.98067,-6.28447,-3.22377,-6.66429,-6.25547,-4.2104,-3.13453,-0.93477,-2.07438,-2.6603,0.169368,0.75974
-259.769,8.95316,13.1035,15.1883,1.38137,6.39721,-5.23434,-2.5785,-7.46226,-4.09318,-6.85946,-4.37255,-9.6844,-5.3702,-5.69151,-6.27602,-5.53722,-0.610845,-0.929262,-3.75766,-3.40282
-300.878,25.1493,18.0436,16.5958,2.13889,3.83383,-4.28181,-1.58536,-8.39312,-4.65051,-6.20923,-2.82794,-8.61457,-4.84573,-7.27878,-5.73433,-4.39916,-0.720329,-0.591433,-4.84859,-3.52719
-337.832,39.2512,23.2885,14.2618,1.86858,4.38001,-4.0427,-3.0167,-8.41481,-5.25166,-6.43824,-4.31798,-5.79071,-4.74525,-6.70757,-8.94579,-3.71574,-1.73352,-2.2043,-6.17311,-2.71456
-357.762,45.0575,29.2906,14.8407,2.47763,3.08097,-3.51612,-4.73729,-7.9235,-6.66325,-5.39532,-5.1328,-7.99053,-6.66389,-4.88073,-4.65691,-3.02739,-1.9051,-0.798764,-2.75712,-2.43886
-366.727,45.1837,30.5247,15.5478,3.26616,2.38191,-5.30584,-6.10663,-4.93022,-5.96453,-5.00644,-3.79405,-7.29073,-7.26499,-7.328,-4.694,-3.30247,-2.36348,-0.359767,-2.98229,-1.26108
-375.018,45.7093,28.6003,16.4223,4.90369,-1.34966,-5.55151,-6.40629,-5.86856,-4.63792,-5.58292,-6.71344,-7.72529,-8.11661,-8.81334,-4.9184,-3.31809,-0.307871,-2.81206,-2.83868,-0.957487
-375.214,41.0025,33.4719,18.5742,6.96009,3.42561,-2.71625,-5.4698,-7.85141,-7.17713,-6.36578,-6.68941,-9.02172,-5.0752,-3.61509,-1.27387,-0.018193,-0.302341,-1.34265,-2.99787,-0.237111
-172.581,-2.14946,11.1028,8.31639,-3.04649,0.000899125,-3.28114,-3.49567,-7.50828,-5.78185,-5.84284,-3.83396,-8.06769,-2.48895,-4.10971,1.84153,3.55078,1.75557,-1.33731,-0.970924,-0.803535
-250.361,11.6576,12.553,14.5401,-5.09828,2.76663,-10.971,-7.6616,-8.95104,-5.99832,-7.2298,-5.05305,-4.89961,-3.20691,-4.74129,0.145334,-1.65788,0.0739325,-0.0743718,1.28924,1.34689
-304.607,27.2613,17.7263,10.7139,-7.31148,-0.190917,-9.41,-6.64013,-10.5685,-9.97308,-7.12443,-0.931165,-3.819,-2.79828,-3.85843,-0.413018,-2.00563,0.534177,-0.782108,-1.71967,-2.44949
-341.148,39.43,18.2567,10.1965,-6.53419,-3.23552,-8.07827,-6.79466,-13.1855,-9.88044,-9.98326,-4.521,-8.22498,-3.59934,-1.83498,-2.68175,0.498321,-0.211186,-1.39593,-5.4016,-4.50992
-353.383,35.8975,25.5607,7.18079,-4.77486,-2.84184,-8.38704,-5.95512,-11.2197,-10.5054,-10.5035,-6.4349,-6.71549,-1.24633,-1.34526,-2.52182,-1.31606,1.52854,-1.91619,-4.85323,-3.68583
-373.971,39.3384,29.1997,8.03087,-3.42585,-2.32921,-10.6282,-11.3353,-10.9214,-6.84207,-6.09998,-3.68319,-4.93508,-2.57426,-1.28169,-1.96832,-1.34634,-0.789449,-1.98879,-3.51381,-1.78935
-381.421,39.8644,29.3236,7.97704,-4.32078,-7.13597,-10.5366,-9.328,-9.15756,-8.29831,-6.77724,-3.58396,-4.03924,-1.9822,-2.93894,-3.24311,-0.803255,0.324906,-3.01171,-4.76999,-3.00353
-391.858,40.1496,31.4316,7.18753,-3.19107,-5.85259,-8.79014,-10.6147,-9.82706,-6.40478,-3.7927,-2.6048,-5.50577,-4.3088,-2.92429,-0.843149,-1.38178,-0.897745,-2.97197,-2.40012,-3.07649
-199.485,-16.5935,3.51774,1.28587,-10.8369,0.694972,-5.39677,-2.90597,-3.96659,-1.51326,-3.50454,-4.15662,-5.55575,0.503371,-2.11611,-1.44773,-1.35844,0.551563,-0.0163773,-2.93285,-1.08199
-206.535,5.57563,9.06143,8.41678,-5.10089,3.25122,-0.28348,1.7975,-3.62219,-1.87965,-3.15848,-2.66153,-4.67228,-3.14204,-2.90318,-0.300793,-1.65714,2.07014,2.25528,-0.655773,-1.30848
-282.21,11.4194,2.94585,1.48848,-7.15398,-1.62126,-5.3287,1.33905,-3.56287,-0.807827,-6.31851,-3.72161,-3.3393,0.15959,-3.04724,0.380106,1.46176,2.40444,0.970147,-0.141366,0.0138603
-329.748,20.0747,1.73176,1.0022,-5.96901,-2.1531,-6.66501,0.973237,-3.19633,-2.4596,-8.4887,-6.70125,-5.76302,-0.064228,0.740654,2.06928,2.54624,3.53208,2.28746,-2.01858,0.735727
-292.097,9.018,2.39581,-1.4825,-8.93901,-0.311863,-1.40895,-1.94198,-4.34386,-6.18792,-6.63086,-1.6592,-1.1537,1.72129,-2.02721,1.32289,2.08308,-0.326696,1.01365,-0.180772,-1.0016
-191.062,0.432246,12.7356,14.2482,3.91643,8.35424,-0.347688,-1.26852,-4.69558,-0.541897,-2.70747,-2.52718,-6.58668,-4.92721,-4.7217,-1.20217,-5.57944,-3.4342,-4.1857,-2.77034,-1.14836
-266.252,12.739,14.946,15.2946,-2.24775,8.16026,-3.71793,-0.6263,-6.6102,-2.14522,-4.89593,-5.75046,-9.22083,-6.69423,-5.98291,-2.79554,-4.46564,-3.91521,-5.36976,-3.00853,-0.483158
-309.429,30.2368,19.1702,15.1903,-0.998671,0.964485,-3.75465,-0.731613,-3.80007,-4.1159,-6.71559,-7.56977,-9.00923,-3.00103,-5.58856,-4.05674,-6.22802,-2.64559,-1.53191,-2.66841,-0.433913
-345.387,43.0428,24.8847,13.8774,0.00455426,-0.425305,-4.16833,-2.2372,-6.14958,-7.28963,-5.56465,-5.17014,-7.5537,-6.38995,-7.20617,-5.81569,-4.52766,-4.30078,-1.2336,-3.97097,-2.94575
-357.813,42.9599,27.6233,14.5843,0.940272,2.05124,-2.40888,-0.421898,-7.07359,-7.3681,-5.63547,-5.916,-8.02252,-6.39094,-6.51623,-5.12578,-1.67536,-0.628483,-1.30731,-4.33403,-4.05449
-369.096,43.6749,31.8435,17.9276,1.76394,0.0464608,-3.37399,-5.9723,-5.372,-4.64758,-6.52909,-5.66149,-4.08034,-5.63511,-8.20176,-4.97897,-3.94049,-2.71669,-0.265536,0.0616975,-1.18928
-375.385,42.1267,30.2231,16.6666,5.86331,-2.11561,-6.7065,-3.38957,-6.35622,-6.54483,-5.77511,-9.36491,-7.66388,-5.21117,-5.09849,-3.44018,-3.33471,-2.33166,-3.69401,-3.44418,-1.68647
-385.681,41.5076,35.4669,17.7491,5.44054,-0.324904,-1.3228,-3.29162,-5.29218,-4.40273,-2.45718,-5.79944,-7.83887,-4.68471,-5.3477,-4.27212,-3.99834,-2.24422,-0.202012,0.595097,-3.11412
-166.786,-7.85271,11.35,9.45051,-4.30909,2.5348,-2.66847,-2.35233,-8.40129,-7.94539,-7.82465,-3.56819,-3.85891,-1.72602,-2.40688,0.645421,1.56911,2.39354,-0.711722,-0.963163,-1.96567
-234.211,0.947844,11.3616,12.9136,-2.31612,4.88573,-7.24357,-3.86747,-8.84283,-6.32178,-8.65458,-7.08711,-5.58821,-1.3065,-3.51579,0.864516,0.335653,2.94878,2.90248,0.948432,0.705965
-282.978,17.2908,14.8023,12.8406,-5.97508,2.08375,-7.5654,-3.60142,-9.16231,-6.84705,-10.3181,-7.12565,-7.102,-2.63174,-4.63682,-2.72756,-3.98291,2.63945,2.87979,0.522502,-1.03755
-321.511,28.4462,16.7589,9.98029,-2.29343,0.574361,-6.50727,-6.35781,-9.8352,-7.31199,-9.81658,-4.94665,-5.1119,0.43793,-3.4784,-4.29765,-3.61077,-0.210522,-0.0827346,-2.50514,-1.47535
-347.776,35.025,22.3769,8.36798,-4.60512,-3.36166,-7.79582,-7.39173,-11.3102,-8.30338,-10.0593,-3.20635,-6.40603,-4.64265,-5.49075,-3.0977,-3.05229,-1.80086,1.28833,-1.09627,-0.818326
-371.045,41.5112,25.0931,7.48593,-5.3999,-0.588226,-9.21822,-9.669,-8.52643,-8.23678,-8.06795,-3.26027,-3.92491,-5.4617,-5.6747,-3.24576,-2.2824,-1.23035,0.634856,-0.863924,-0.341228
-383.462,37.9776,25.2668,11.9662,-1.77569,-5.22265,-8.4349,-10.0122,-11.6705,-8.12712,-5.57537,-2.93093,-4.91127,-5.06468,-7.1208,-6.35223,-2.9616,-0.862728,-0.772402,-0.232995,-0.0725236
-393.277,35.5141,27.8477,7.70159,-3.64969,-5.06631,-9.2118,-8.86691,-9.82311,-9.11912,-5.31607,-3.91157,-5.97877,-2.94052,-3.85164,-4.35857,-4.08386,-4.26034,-2.65012,-1.10481,-0.240737
-235.721,-18.0466,9.52367,13.927,-2.15733,-1.56559,-4.69616,-2.41354,-4.3088,-3.07651,-5.64465,-4.16482,-3.84051,-2.13212,-4.36612,-1.24068,-0.365392,-3.91797,-0.880049,1.05343,-1.45435
-187.261,7.33932,5.31568,5.15519,-5.53058,4.55885,-0.557128,3.67853,0.223958,0.904949,-3.66406,-3.69274,-3.5421,-2.59468,-3.96658,-0.1974,-0.785412,-0.723711,-2.12956,-2.33423,-0.0703787
-275.99,10.3748,2.82014,4.26958,-7.9928,1.70093,-1.909,3.8546,-1.66861,-3.21845,-7.30953,-5.74046,-6.84233,-2.66463,-3.43717,-2.5537,0.688567,2.35194,1.82279,0.902078,-0.15332
-329.56,19.8073,0.00172158,2.38857,-6.94868,-1.51901,-1.71989,5.84397,-1.30277,-5.5578,-6.38046,-2.79464,-2.1126,-0.701368,-3.0687,0.237808,1.5696,1.9044,1.28323,-2.01258,-1.43982
-355.482,23.4406,-0.0410523,1.39241,-8.21634,-2.29058,-0.819294,3.48427,-3.56362,-8.39009,-9.73556,-6.40152,-3.1657,-1.00425,-2.29557,-0.508692,0.257853,3.71361,1.70874,-0.368454,1.42929
-374.474,21.3868,2.44893,-0.145706,-4.84234,-1.70344,-4.16269,-1.06925,-5.3722,-8.26186,-11.332,-6.82364,-3.26134,-0.782439,-1.84105,-1.09732,-0.897466,1.83065,4.16902,1.77256,0.188583
-383.182,23.7152,3.26589,0.926599,-2.26292,0.353254,-2.21792,-0.718639,-2.72854,-9.56159,-10.1744,-5.58779,-3.36592,-2.18283,-3.34376,-1.60128,1.45108,4.02676,1.58157,0.596096,0.959267
-395.12,21.084,5.64688,0.691058,-2.16748,-2.83111,-3.32668,-1.05493,-5.09277,-8.63103,-11.5452,-4.39747,-2.89008,-1.15782,-3.21297,-2.31262,-0.891385,2.13746,2.24594,1.60737,1.00835
-403.87,22.6752,11.0196,5.42528,3.0601,1.54802,-2.29129,-2.90717,-5.85254,-6.70209,-8.27374,-4.9467,-1.88255,2.82903,0.802057,1.05309,1.78269,3.06076,2.95161,1.664,0.834268
-168.145,-2.52443,15.4054,12.8294,-1.85927,4.30974,-2.58569,-0.205432,-5.08891,-3.84162,-3.29171,-2.62929,-6.55663,-6.12851,-5.86303,-2.04385,-2.07592,-2.80896,-4.25466,-1.4339,-0.100506
-249.435,2.17207,15.1963,18.5495,-1.95519,6.01019,-2.12056,0.515883,-5.27234,-4.51272,-7.26184,-5.41658,-7.61868,-5.35289,-8.42304,-5.09536,-5.36116,-2.55472,-2.52336,-3.22332,-1.08263
-295.741,20.3491,17.8321,18.3121,0.14628,4.87358,-3.57074,-1.60619,-4.53077,-6.53163,-8.32739,-6.40081,-9.69482,-6.84367,-5.6462,-3.94722,-5.3524,-1.27064,-0.518036,-0.240242,0.188544
-336.729,29.8182,24.3513,21.8708,2.77337,3.3175,-6.40548,-3.99047,-6.72937,-5.73719,-5.86671,-4.11069,-5.39173,-6.00078,-9.03065,-8.01175,-6.14554,-1.02542,0.546392,-3.67885,-2.12742
-350.814,38.1247,31.3716,17.3257,-2.39984,2.2452,-2.94832,-2.75744,-8.14858,-7.14764,-5.94008,-6.28962,-8.28624,-5.75842,-5.76711,-4.83636,-5.00096,-2.38397,-1.44549,-2.83273,-0.232089
-362.641,40.458,31.6109,16.3295,-1.31323,4.08218,-1.55628,-5.75596,-6.63457,-8.14302,-8.50017,-6.82727,-6.90304,-5.25166,-6.44322,-4.83264,-3.33325,-2.86371,-1.60011,-3.40699,-0.141134
-377.938,42.2168,30.8996,16.7102,2.53458,2.20338,-1.8049,-4.89483,-6.99611,-8.47034,-7.49084,-7.04194,-8.71631,-4.27492,-4.36838,-4.16794,-4.99574,-1.70684,-2.52253,-4.58327,-1.7848
-386.506,45.2513,33.5794,14.7358,4.93267,0.29937,-3.62141,-6.74096,-8.19684,-6.68568,-6.79418,-7.37162,-5.2397,-4.68947,-7.37718,-5.52391,-4.79296,-1.12247,-0.724913,-1.31897,0.382063
-191.873,-2.92933,7.14556,10.2416,0.568555,4.98061,-2.81637,-0.500228,-3.38311,-1.83879,-4.37079,-0.683113,-4.51571,-1.89356,-5.26283,-1.59575,-2.27116,-4.63547,-4.64709,-1.83252,-2.34909
-217.818,-0.976369,14.8407,16.2312,-0.0569116,4.98554,-1.00442,1.98301,-2.60791,-3.34517,-5.00924,-5.0919,-9.33082,-6.41679,-5.61599,-3.93182,-5.00887,0.0861551,0.581242,1.03392,1.6319
