TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.182675737,0.00558932,0.398942,1.91433,0.0370199,0.829759,3.08165,0.00477554,0.209133,1.13587,0.0711865,0.809547,0.283151
2.229115646,0.0486309,0.539921,1.91703,0.131852,0.806319,2.99487,0.00364463,0.195496,0.650943,0.263912,0.999847,0.285222
2.275555556,0.0507427,0.355032,2.02709,0.245813,0.883752,3.03815,0.120815,0.205986,0.16514,0.195055,1.06876,0.282159
2.321995465,0.0671769,0.0577228,2.32882,0.208653,0.544387,3.08074,0.0336052,0.192614,0.333997,0.134486,1.12436,0.279286
2.368435374,0.246449,0,2.54429,0.0688141,0.236203,3.39908,0.047151,0.152613,1.10293,0.0764099,0.751862,0.232306
2.414875283,0.316003,0.0287371,2.62954,1.02362,0.12225,2.6903,0.0516769,0.1318,0.807845,0.00149514,1.72999,0.129749
2.461315193,0.00961043,0.0139508,1.27642,2.71563,0.163629,0.871868,0.110275,0.235633,0.0984652,0.354054,2.21737,0.857138
2.507755102,0,0.153537,0.527673,3.44704,0.249162,0.478689,0.0321834,0.411628,0.0947161,0.0172974,1.98559,1.19632
2.554195011,0,0.00109533,0.712126,3.87431,0.114314,0.0271929,0.0138529,0.250679,0.0648336,0,1.86007,1.41106
2.600634921,0.00010703,0.00171784,0.749209,3.8711,0.0163709,0.00493339,0,0,0.0110772,0,1.67245,1.70106
2.647074830,0,0.000928499,0.738404,3.78992,0.0250552,0.0175307,0.00238807,0,0.00115231,0,1.606,1.93219
2.693514739,0.00965043,0,0.662273,3.78638,0.0164832,0,0.0250568,0,0.08465,0,1.57186,2.05086
2.739954649,0.0632531,0,0.471909,3.92757,0.027724,0,0.0633227,0.195282,0.0403965,0.00568137,1.21132,2.23263
2.786394558,0.160749,0.179304,0.20288,3.76806,0.00980395,0,0.245045,0.708534,0.027886,0.480258,1.07105,1.96756
2.832834467,0.154818,0.18485,0.185489,3.55505,0.00897842,0.014012,0.360861,0.600679,0.104216,0.496271,1.22143,1.53588
2.879274376,0.155201,0.117822,0.0746828,3.22426,0.0714232,0.077378,0.549473,0.299457,0.0762316,0.24891,1.61267,1.27135
2.925714286,0.0571359,0,0,3.11131,0.135327,0.105215,0.254188,0.0351114,0.0595082,0.0871812,1.82279,1.15152
2.972154195,0.074407,0,0,3.02032,0.117035,0.534545,0.266622,0.0366821,0.121776,0.104153,1.39225,1.54543
3.018594104,0.0179919,0,0,2.81124,0.106154,0.903115,0.255161,0.0466632,0.186425,0.135491,1.43388,1.39602
3.065034014,0.0234208,2.83261e-05,0.000403712,3.10536,0.0990997,0.860059,0.267935,0.0270683,0.087,0.157683,1.85474,0.648792
3.111473923,0,0,0.379344,3.20222,0.104672,0.671967,0.262801,0.0226934,0.00100159,0.0585338,2.37799,0.103262
3.157913832,2.44235e-05,0.0309635,0.842175,3.11802,0.0718294,0.865724,0.262141,0,0.0340894,0,2.73281,0.113714
